treatment_id	n_terms_above_5
taxon_ca26b5e77f216c350866c0d9da727395b8d3e18dfc24f82169f7aefba5f2e2cc	164
taxon_bcee4f239217b9dd60d660cb0d73076c93b6002aa7b5b5df71d454dc6b7b635c	163
taxon_4a4371187e3881bd1b2826e95a2645e5e4965864173db1c2a72b2496d3d36590	162
taxon_633adfd36cee862f6b5e6a1dffc104265259c090e435afdded7c8ff4bf841134	162
taxon_2461127e71efa56a10b6877cfd6642123d5b1fb09b9caefa4b41179239ea799f	161
taxon_58c7a96c4c2f1a277cac9c6b37973d66647bb6994e7ebcf491eabb33400647ff	161
taxon_b01f1d74f18d7a5377d2ab6ccf698dfe99cb9ce18b71ec2f9d1d4e1d10127c03	161
taxon_0bafcd92f2f4037e76ba9b08a24f01475edbbac260e05b552a55545bac8dc704	160
taxon_bd116541ea619d0311c754ee4ee66ea65cf9ce9fb4e00075150c4b53a4c7f11c	160
taxon_c11f97d7b4bc09f1c0efc0e13f86c8a107b7964ae39fc8816617445dc8c21127	160
taxon_e63b05a393d5b50580d71c89fb6f5c8626e0336848f8eaf0f262779b1193f019	160
taxon_702053b8ccea6ab59cf38684a3dcfa348062b4e37349732db73d107997d5b62a	159
taxon_b8841a6bc74d5c174138aca74019910dd34af4a7431c806c52c2d9f45f590abc	159
taxon_c12bc9db10caa88e97abf378bd4faf15aac0ce7459fb40d4764ccf001be644c2	158
taxon_d8612049899e0c360f6ae1716ed4372b0fafad5e4d8fc7ce89f9bcd42059c4f7	158
taxon_dbfeb184a3e87fb33ac8d95b3b2d47f91011f102198eeaaeffad6897f721ae71	158
taxon_f2fa69f769735991ab96a6f9dcc62c3896d819b424f570f75cc38270e88d3f7e	158
taxon_458457cf377d313473b0680c72c64123a4dc2bd101f950aba7151cf8d05c45f2	157
taxon_4766afc989fcfdcb23ec6fb540e4cb205f55b294fab253bd5b16b6db63f341a5	157
taxon_49d56ad687c3e3f5033c95a526bbb05c25666b7fcc96f9e6aafb393fd04417d9	157
