Headword,DEFINITION,Part of Speech,SEMANTIC GROUP,FREQUENCY RANK,Transliterated,Latinized
"νοῦς, νοῦ, ὁ (other dialects: νόος, νόου, ὁ)","mind, perception, sense",noun: 2nd declension,"The Mind, Perceiving and Learning",285,"nus, nu, ho (other dialects: noos, nou, ho)","nus, nu, ho (other dialects: noos, nou, ho)"
"μένω, μενῶ, ἔμεινα, μεμένηκα","stay, remain, endure, await",verb: -ω liquid stem,Movement,286,"meno, meno, emina, memeneca","meno, meno, emina, memeneca"
"ἀποθνῄσκω, ἀποθανοῦμαι, 2 aor. ἀπέθανον, ἀποτέθνηκα",die,verb: -ω palatal stem,Life and Death,287,"apothnesco, apothanumae, 2 aor. apethanon, apotethneca","apothnesco, apothanumae, 2 aor. apethanon, apotethneca"
πάνυ,"altogether, entirely",adverb,Conjunctions/Adverbs,288,pany,pany
εὖ,"well (opp. κακῶς); thoroughly, competently; happily, fortunately",adverb,Conjunctions/Adverbs,289,eu,eu
"κρίνω, κρινῶ, ἔκρινα, κέκρικα, κέκριμαι, ἐκρίθην","judge, decide, determine",verb: -ω liquid stem,Law and Judgment,290,"crino, crino, ecrina, cecrica, cecrimae, ecrithen","crino, crino, ecrina, cecrica, cecrimae, ecrithen"
"ἀναιρέω, ἀναιρήσω, ἀνεῖλον, ἀνῄρηκα, ἀνῄρημαι, ἀνῃρέθην","raise, take up; kill, destroy",verb: contracted,War and Peace,291,"anaereo, anaereso, anilon, anereca, aneremae, anerethen","anaereo, anaereso, anilon, anereca, aneremae, anerethen"
μακρός –ά –όν,"long, tall, large, long-lasting",adjective: 1st and 2nd declension,Measurements and Numerals,292,macros a on,macrus a on
"ἥκω, ἥξω, pf. ἧκα","I have come, I am present",verb: -ω palatal stem,Movement,293,"heco, hexo, pf. heca","heco, hexo, pf. heca"
"ἡδονή –ῆς, ἡ","pleasure, enjoyment",noun: 1st declension,Work and Leisure,294,"hedone es, he","hedone es, he"
"μήτηρ μητρός, ἡ",mother,noun: 3rd declension irregular,Family and Friendship and the Home,295,"meter metros, he","meter metros, he"
δεινός –ή –όν,"awesome, terrible; clever, clever at (+infin.)",adjective: 1st and 2nd declension,Characteristics,296,dinos e on,dinus e on
"διαφορά –ᾶς, ἡ","difference, disagreement",noun: 1st declension,Law and Judgment,297,"diaphora as, he","diaphora as, he"
"κρατέω, κρατήσω, ἐκράτησα, κεκράτηκα, κεκράτημαι, ἐκρατήθην","be victorious, conquer, rule, surpass, excel (+gen.)",verb: contracted,Government and Society,298,"crateo, crateso, ecratesa, cecrateca, cecratemae, ecratethen","crateo, crateso, ecratesa, cecrateca, cecratemae, ecratethen"
"δῆμος δήμου, ὁ",the (common) people; country district (opp. πόλις),noun: 2nd declension,Humanity and Being,299,"demos demu, ho","demus demu, ho"
"οὐρανός –οῦ, ὁ","sky, heaven",noun: 2nd declension,World Order,300,"uranos u, ho","uranus u, ho"
"ἕπομαι ἕψομαι, 2 aor. ἑσπόμην",follow,verb: deponent,Movement,301,"hepomae hepsomae, 2 aor. hespomen","hepomae hepsomae, 2 aor. hespomen"
ἥσσων ἧσσον,"less, weaker (comp. of κακός or μικρός)","adjective: 3rd declension -ων, -ον",Characteristics,302,hesson hesson,hessum hessum
"ὄρος ὄρους, τό","mountain, hill",noun: 3rd declension σ-stem,Earth,303,"oros orus, to","orus orus, to"
